dataset,model,metric,metric_display,mean,std,n,cell,source_file
BCI2a,GraphSleepNet,precision_macro,Precision (Macro),0.14719255890203162,0.04136558927772913,9,0.1472 ± 0.0414,./results/graphsleepnet_BCI2a_seed2025.pkl
BCI2a,SalientSleepNet,precision_macro,Precision (Macro),0.0625,0.0,9,0.0625 ± 0.0000,./results/salientsleepnet_BCI2a_seed2025.pkl
BCI2a,MMCNN,precision_macro,Precision (Macro),0.24409355247511583,0.03392320559821555,9,0.2441 ± 0.0339,./results/mmcnn_BCI2a_seed2025.pkl
BCI2a,BiM-TTA,precision_macro,Precision (Macro),0.29873112212644365,0.040181256333438865,9,0.2987 ± 0.0402,./results/bimtta_BCI2a_seed2025.pkl
BCI2a,EEGNet,recall_macro,Recall (Macro),0.25000000000000006,0.019912789970006083,9,0.2500 ± 0.0199,./results/eegnet_BCI2a_seed2025.pkl
BCI2a,GraphSleepNet,recall_macro,Recall (Macro),0.27044753086419754,0.02559124066632253,9,0.2704 ± 0.0256,./results/graphsleepnet_BCI2a_seed2025.pkl
BCI2a,SalientSleepNet,recall_macro,Recall (Macro),0.25,0.0,9,0.2500 ± 0.0000,./results/salientsleepnet_BCI2a_seed2025.pkl
BCI2a,MMCNN,recall_macro,Recall (Macro),0.24074074074074073,0.03907857179660678,9,0.2407 ± 0.0391,./results/mmcnn_BCI2a_seed2025.pkl
BCI2a,BiM-TTA,recall_macro,Recall (Macro),0.30150462962962965,0.042730127180497075,9,0.3015 ± 0.0427,./results/bimtta_BCI2a_seed2025.pkl
APAVA,StylePrior-MOMENT + STSA,accuracy,Accuracy,0.676283771333854,0.1657720099363941,5,0.6763 ± 0.1658,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT + STSA,balanced_accuracy,Balanced Accuracy,0.7108658153372308,0.1540151060878566,5,0.7109 ± 0.1540,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT + STSA,f1_macro,F1 Score (Macro),0.5968463967414094,0.1649019289771311,5,0.5968 ± 0.1649,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT + STSA,precision_macro,Precision (Macro),0.6422082288438833,0.1497905722924544,5,0.6422 ± 0.1498,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT + STSA,recall_macro,Recall (Macro),0.6304736584744857,0.18603855248967616,5,0.6305 ± 0.1860,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT + STSA,roc_auc,ROC AUC,0.6016592030918299,0.3388684666834125,5,0.6017 ± 0.3389,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT + STSA,average_precision,Avg Prec,0.5654121982143059,0.34911169390388197,5,0.5654 ± 0.3491,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT (source),accuracy,Accuracy,0.6074772439243418,0.19027435704472648,5,0.6075 ± 0.1903,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT (source),balanced_accuracy,Balanced Accuracy,0.677655707897135,0.165063892895965,5,0.6777 ± 0.1651,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT (source),f1_macro,F1 Score (Macro),0.5096707336910313,0.12629665293723977,5,0.5097 ± 0.1263,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT (source),precision_macro,Precision (Macro),0.6102390347704825,0.11462677929947553,5,0.6102 ± 0.1146,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT (source),recall_macro,Recall (Macro),0.5873870078245134,0.13861196568294165,5,0.5874 ± 0.1386,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT (source),roc_auc,ROC AUC,0.6041019284545277,0.3412740828820321,5,0.6041 ± 0.3413,./results/ss_moment_APAVA_seed2025.pkl
APAVA,StylePrior-MOMENT (source),average_precision,Avg Prec,0.5684969810505275,0.35132242830285726,5,0.5685 ± 0.3513,./results/ss_moment_APAVA_seed2025.pkl
